,story_name,document_id,word,word_n,paragraph_n,number_word,lp_GroNLP_gpt2.medium.dutch.embeddings,lp_GroNLP_gpt2.small.dutch,lp_yhavinga_gpt2.large.dutch,lp_yhavinga_gpt.neo.125M.dutch,zipf_freq,zero_freq,lp,sd_lp,se_lp,wl,s_lp,s_wl,s_freq,s_lp1,s_lp2,s_lp3,s_wl1,s_wl2,s_wl3,s_freq1,s_freq2,s_freq3,word_rm_punct,pos
1,mijn heer zak met rijst,1,Op,0,0,1,,,,,1.35550232686675,True,,,,2,,-1.0343949469528,-1.52905501871149,,,,,,,,,,op,ADP
2,mijn heer zak met rijst,1,een,1,0,2,-7.21320152282715,-2.7787652015686,-3.35117173194885,-3.00445413589478,7.25087735208062,False,-4.08689814805984,2.09745583947258,1.04872791973629,3,0.241899143275322,-0.713901874399868,1.11061676020054,,,,-1.0343949469528,,,-1.52905501871149,,,een,DET
3,mijn heer zak met rijst,1,zekere,2,0,3,-8.90047168731689,-7.87838697433472,-7.24051189422607,-6.8267765045166,4.35766838862326,False,-7.71153676509857,0.90297109390389,0.451485546951945,6,-0.672111011448851,0.247577343258918,-0.184826196128885,0.241899143275322,,,-0.713901874399868,-1.0343949469528,,1.11061676020054,-1.52905501871149,,zekere,ADJ
4,mijn heer zak met rijst,1,dag,3,0,4,-3.44432759284973,-0.745605707168579,-0.959172964096069,-1.61522054672241,5.92496987479219,False,-1.6910817027092,1.22600181159248,0.613000905796239,3,0.846042284500998,-0.713901874399868,0.516937726334541,-0.672111011448851,0.241899143275322,,0.247577343258918,-0.713901874399868,-1.0343949469528,-0.184826196128885,1.11061676020054,-1.52905501871149,dag,NOUN
5,mijn heer zak met rijst,1,kwam,4,0,5,-4.80064392089844,-2.95304298400879,-3.33699083328247,-3.44935965538025,5.67649974366098,False,-3.63500934839249,0.805618380011232,0.402809190005616,4,0.35585007613812,-0.393408801846939,0.405684482860715,0.846042284500998,-0.672111011448851,0.241899143275322,-0.713901874399868,0.247577343258918,-0.713901874399868,0.516937726334541,-0.184826196128885,1.11061676020054,kwam,VERB
6,mijn heer zak met rijst,1,de,5,0,6,-2.4314296245575,-2.22685813903809,-2.04271388053894,-2.12859153747559,7.38129056461726,False,-2.20739829540253,0.167232556191649,0.0836162780958247,2,0.715844861079008,-1.0343949469528,1.16900966569984,0.35585007613812,0.846042284500998,-0.672111011448851,-0.393408801846939,-0.713901874399868,0.247577343258918,0.405684482860715,0.516937726334541,-0.184826196128885,de,DET
7,mijn heer zak met rijst,1,grote,6,0,7,-5.40400695800781,-5.45559120178223,-4.69634675979614,-5.22883033752441,5.68237048676044,False,-5.19619381427765,0.347076133758713,0.173538066879357,5,-0.0378273648373505,-0.0729157292940105,0.408313125621287,0.715844861079008,0.35585007613812,0.846042284500998,-1.0343949469528,-0.393408801846939,-0.713901874399868,1.16900966569984,0.405684482860715,0.516937726334541,grote,ADJ
8,mijn heer zak met rijst,1,Hidesato,7,0,8,-31.0055050849915,-25.8770427703857,-29.1648993492126,-32.8754796981812,1.35550232686675,True,-29.7307317256927,2.98248061019548,1.49124030509774,8,-6.22460049225587,0.888563488364776,-1.52905501871149,-0.0378273648373505,0.715844861079008,0.35585007613812,-0.0729157292940105,-1.0343949469528,-0.393408801846939,0.408313125621287,1.16900966569984,0.405684482860715,hidesato,PROPN
9,mijn heer zak met rijst,1,bij,8,0,9,-5.99855995178223,-4.32270002365112,-4.23958587646484,-4.65543842315674,6.38826206953397,False,-4.80407106876373,0.816344896554641,0.408172448277321,3,0.0610526089104469,-0.713901874399868,0.724378190532276,-6.22460049225587,-0.0378273648373505,0.715844861079008,0.888563488364776,-0.0729157292940105,-1.0343949469528,-1.52905501871149,0.408313125621287,1.16900966569984,bij,ADP
10,mijn heer zak met rijst,1,een,9,0,10,-3.61981344223022,-3.44804573059082,-3.5975980758667,-3.42522716522217,7.25087735208062,False,-3.52267110347748,0.100191404406675,0.0500957022033377,3,0.384177947538468,-0.713901874399868,1.11061676020054,0.0610526089104469,-6.22460049225587,-0.0378273648373505,-0.713901874399868,0.888563488364776,-0.0729157292940105,0.724378190532276,-1.52905501871149,0.408313125621287,een,DET
